title,year,director,duration,cast,genre
Harold & Kumar Go to White Castle,2004,Danny Leiner,88,"John Cho, Kal Penn, Neil Patrick Harris",Adventure  •  Animation  •  Family-Oriented Adventure
Smoke,1995,Wayne Wang,112,"Harvey Keitel, Victor Argo, Stockard Channing",Buddy Film  •  Comedy  •  Road Movie
The Ref,1994,Ted Demme,93,"Denis Leary, Judy Davis, Kevin Spacey",Comedy Drama  •  Drama  •  Ensemble Film
A Bittersweet Life,2005,Jee-woon Kim,120,"Byung-hun Lee, Jeong-min Hwang, Roe-ha Kim",Comedy Drama  •  Crime  •  Domestic Comedy
Lifeforce,1985,Tobe Hooper,101,"Steve Railsback, Peter Firth, Frank Finlay",Action  •  Crime  •  Crime Drama
Run Silent Run Deep,1958,Robert Wise,93,"Don Rickles, Jack Warden, Burt Lancaster",Alien Invasion Films  •  Apocalyptic Film  •  Horror
Baby Doll,1956,Elia Kazan,114,"Karl Malden, Carroll Baker, Eli Wallach",Action  •  Combat Films  •  Drama
Orlando,1992,Sally Potter,93,"Tilda Swinton, Lothaire Bluteau, John Wood",Based-on-Theatre  •  Black Comedy  •  Comedy Drama
Of Mice and Men,1939,Lewis Milestone,106,"Burgess Meredith, Betty Field, Charles Bickford",Based-on-20th-Century-Literature  •  Cross-Dressing / Gender-Bending  •  Drama
The Muppets Take Manhattan,1984,Frank Oz,94,"Frank Oz, Dave Goelz, Juliana Donald",Drama  •  Melodrama  •  Rural Drama
A Christmas Carol,1951,Brian Desmond Hurst,86,"Alastair Sim, Kathleen Harrison, Mervyn Johns",Based-on-Television  •  Comedy  •  Family
A Dog's Life,1918,Charles Chaplin,33,"Edna Purviance, Charles Chaplin, Syd Chaplin",Adventure  •  Based-on-19th-Century-Literature  •  Drama
Ice Age,2002,Chris Wedge,81,"Ray Romano, John Leguizamo, Denis Leary",Comedy  •  Short Film  •  Silent Film
Saw,2004,James Wan,103,"Leigh Whannell, Cary Elwes, Danny Glover",Adventure Comedy  •  Adventure  •  Animation
Lone Survivor,2013,Peter Berg,121,"Mark Wahlberg, Emile Hirsch, Taylor Kitsch",Horror  •  Psychological Horror  •  Sadistic Horror
Tabu: A Story of the South Seas,1931,F.W. Murnau,84,"Matahi, Anne Chevalier, Bill Bambridge",Action Thriller  •  Action  •  Based-on-21st-Century-Literature
Love Exposure,2008,Sion Sono,237,"Atsuro Watabe, Takahiro Nishijima, Hikari Mitsushima",Adventure Drama  •  Adventure  •  Docudrama
Bruce Almighty,2003,Tom Shadyac,101,"Jim Carrey, Morgan Freeman, Steve Carell",Absurd Comedy  •  Comedy Drama  •  Drama
Remember the Night,1940,Mitchell Leisen,94,"Barbara Stanwyck, Fred MacMurray, Beulah Bondi",Comedy  •  Fantasy Comedy  •  Fantasy
Weekend,2011,Andrew Haigh,96,"Chris New, Tom Cullen, Laura Freeman",Comedy  •  Drama  •  Holiday Film
The Lincoln Lawyer,2011,Brad Furman,119,"Matthew McConaughey, Marisa Tomei, Ryan Phillippe",Drama  •  Gay and Lesbian Film  •  Romance
The Exorcist III,1990,William Peter Blatty,110,"George C. Scott, Ed Flanders, Brad Dourif",Based-on-21st-Century-Literature  •  Courtroom Drama  •  Crime Drama
To Die For,1995,Gus Van Sant,106,"Joaquin Phoenix, Illeana Douglas, Casey Affleck",Based-on-20th-Century-Literature  •  Horror  •  Mystery
Driving Miss Daisy,1989,Bruce Beresford,99,"Morgan Freeman, Jessica Tandy, Esther Rolle",Black Comedy  •  Crime Comedy  •  Crime
Four Weddings and a Funeral,1994,Mike Newell,117,"Simon Callow, Hugh Grant, Andie MacDowell",Based-on-Theatre  •  Comedy Drama  •  Drama
Cop Land,1997,James Mangold,116,"Sylvester Stallone, Harvey Keitel, Robert De Niro",Comedy  •  Romance  •  Romantic Comedy
The Last Unicorn,1982,Jules Bass,92,"Alan Arkin, Mia Farrow, Tammy Grimes",Crime  •  Crime Thriller  •  Drama
The Seventh Victim,1943,Mark Robson,71,"Tom Conway, Jean Brooks, Isabel Jewell",Adventure  •  Animated Musical  •  Animation
Incredibles 2,2018,Brad Bird,118,"Craig T. Nelson, Holly Hunter, Sarah Vowell",Film Noir  •  Gothic Film  •  Horror
"Ivan the Terrible, Part Two",1958,Sergei M. Eisenstein,88,"Amvrosi Buchma, Nikolai Cherkasov, Serafima Birman",Action Comedy  •  Action  •  Animation
Christmas in Connecticut,1945,Peter Godfrey,102,"Barbara Stanwyck, Sydney Greenstreet, Reginald Gardiner",Based-on-a-True-Story  •  Biopic  •  Epic
The Cove,2009,Louie Psihoyos,92,"Louie Psihoyos, Richard O'Berry, Isabel Lucas",Comedy  •  Drama  •  Holiday Film
Presumed Innocent,1990,Alan J. Pakula,127,"Harrison Ford, Brian Dennehy, Bonnie Bedelia",Documentary
Lucky Number Slevin,2006,Paul McGuigan,109,"Morgan Freeman, Ben Kingsley, Josh Hartnett",Courtroom Drama  •  Crime  •  Crime Drama
Footlight Parade,1933,Lloyd Bacon,104,"Guy Kibbee, James Cagney, Joan Blondell",Comedy Thriller  •  Crime Thriller  •  Crime
The Worst Person in the World,2021,Joachim Trier,127,"Renate Reinsve, Anders Danielsen Lie, Maria Grazia Di Meo",Comedy  •  Musical Comedy  •  Musical
Demolition Man,1993,Marco Brambilla,115,"Sylvester Stallone, Wesley Snipes, Sandra Bullock",Comedy Drama  •  Drama  •  Foreign Language Film
The Hound of the Baskervilles,1959,Terence Fisher,87,"David Oxley, Christopher Lee, Marla Landi",Action  •  Crime  •  Cyberpunk / Tech Noir
Les Vampires,1915,Louis Feuillade,399,"Musidora, Édouard Mathé, Marcel Lévesque",Based-on-20th-Century-Literature  •  Crime  •  Detective Film
Fatal Attraction,1987,Adrian Lyne,119,"Michael Douglas, Glenn Close, Anne Archer",Action Thriller  •  Action  •  Crime Thriller
This Is the End,2013,"Evan Goldberg, Seth Rogen",107,"James Franco, Jonah Hill, Seth Rogen",Erotic Thriller  •  Femme Fatale  •  Psychological Thriller
Match Point,2005,Woody Allen,124,"Brian Cox, Matthew Goode, Scarlett Johansson",Apocalyptic Film  •  Buddy Film  •  Comedy
Star Trek: The Motion Picture,1979,Robert Wise,132,"William Shatner, Leonard Nimoy, DeForest Kelley",Drama  •  Psychological Drama  •  Psychological Thriller
Shadows,1959,John Cassavetes,87,"Ben Carruthers, Lelia Goldoni, Hugh Hurd",Action  •  Adventure  •  Based-on-Television
The Apostle,1997,Robert Duvall,134,"Miranda Richardson, John Beasley, Farrah Fawcett",Drama  •  Ensemble Film  •  Psychological Drama
The Silent Partner,1978,"Daryl Duke, Curtis Hanson",106,"Elliott Gould, Christopher Plummer, Susannah York",Drama  •  Psychological Drama  •  Religious Drama
Bad Lieutenant: Port of Call New Orleans,2009,Werner Herzog,121,"Nicolas Cage, Val Kilmer, Eva Mendes",Based-on-20th-Century-Literature  •  Canuxploitation  •  Crime Thriller
eXistenZ,1999,David Cronenberg,97,"Jude Law, Jennifer Jason Leigh, Ian Holm",Crime  •  Crime Drama  •  Crime Thriller
Love Me Tonight,1932,Rouben Mamoulian,104,"Maurice Chevalier, Jeanette MacDonald, Myrna Loy",Body Horror  •  Cyberpunk / Tech Noir  •  Dystopian Film
Dirty Pretty Things,2002,Stephen Frears,97,"Audrey Tautou, Chiwetel Ejiofor, Sergi López",Comedy  •  Musical Romance  •  Musical
Rabbit Hole,2010,John Cameron Mitchell,91,"Nicole Kidman, Aaron Eckhart, Dianne Wiest",Crime Thriller  •  Crime  •  Drama
Touching the Void,2003,Kevin Macdonald,106,"Simon Yates, Joe Simpson, Nicholas Aaron",Based-on-Theatre  •  Drama  •  Family Drama
Cars,2006,John Lasseter,116,"Paul Newman, Cheech Marin, Bonnie Hunt",Adventure Drama  •  Adventure  •  Culture and Society
Cops,1922,"Buster Keaton, Edward F. Cline",18,"Buster Keaton, Joe Roberts, Virginia Fox",Animation  •  Comedy  •  Family-Oriented Comedy
Contagion,2011,Steven Soderbergh,105,"Matt Damon, Laurence Fishburne, Kate Winslet",Chase Movie  •  Comedy  •  Family-Oriented Comedy
The Beguiled,1971,Don Siegel,105,"Clint Eastwood, Geraldine Page, Elizabeth Hartman",Drama  •  Ensemble Film  •  Hyperlink Film
Clerks II,2006,Kevin Smith,97,"Brian O'Halloran, Jeff Anderson, Rosario Dawson",Drama  •  Gothic Film  •  Melodrama
Angel Face,1952,Otto Preminger,91,"Robert Mitchum, Jean Simmons, Mona Freeman",Buddy Film  •  Comedy  •  Workplace Comedy
2010,1984,Peter Hyams,116,"Roy Scheider, John Lithgow, Helen Mirren",Crime Drama  •  Crime  •  Drama
State of Grace,1990,Phil Joanou,134,"Sean Penn, Gary Oldman, Robin Wright",Based-on-20th-Century-Literature  •  Drama  •  Mystery
Criss Cross,1949,Robert Siodmak,88,"Burt Lancaster, Yvonne De Carlo, Dan Duryea",Crime Thriller  •  Crime  •  Gangster Film
McLintock!,1963,Andrew V. McLaglen,127,"John Wayne, Stefanie Powers, Jack Kruschen",Caper  •  Crime Drama  •  Crime Thriller
Up in Smoke,1978,Lou Adler,86,"Cheech Marin, Edie Adams, Tom Skerritt",Comedy  •  Comedy Western  •  Western
The Strange Love of Martha Ivers,1946,Lewis Milestone,116,"Barbara Stanwyck, Van Heflin, Lizabeth Scott",Absurd Comedy  •  Adventure  •  Adventure Comedy
The Kids Are All Right,2010,Lisa Cholodenko,104,"Mark Ruffalo, Julianne Moore, Josh Hutcherson",Crime Drama  •  Crime  •  Drama
Dead Calm,1989,Phillip Noyce,96,"Sam Neill, Sharon Cook, Billy Zane",Comedy  •  Domestic Comedy  •  Female-Directed Film
Prizzi's Honor,1985,John Huston,130,"Jack Nicholson, Kathleen Turner, Robert Loggia",Australian New Wave  •  Psychological Thriller  •  Thriller
Memphis Belle,1990,Michael Caton-Jones,107,"Matthew Modine, Eric Stoltz, Tate Donovan",Black Comedy  •  Comedy  •  Crime Comedy
The French Dispatch,2021,Wes Anderson,103,"Benicio Del Toro, Adrien Brody, Tilda Swinton",Combat Films  •  Drama  •  Ensemble Film
A Tree Grows In Brooklyn,1945,Elia Kazan,128,"Dorothy McGuire, Joan Blondell, James Dunn",Comedy Drama  •  Drama  •  Ensemble Film
The Little Foxes,1941,William Wyler,115,"Bette Davis, Herbert Marshall, Teresa Wright",Based-on-20th-Century-Literature  •  Coming-of-Age  •  Drama
Stories We Tell,2012,Sarah Polley,108,"Andrew Church, Peter Evans, Justin Goodhand",Based-on-Theatre  •  Drama  •  Family Drama
Stir Crazy,1980,Sidney Poitier,108,"Gene Wilder, Richard Pryor, Craig T. Nelson",Biography  •  Culture and Society  •  Docudrama
"Spider Baby or, The Maddest Story Ever Told",1967,Jack Hill,81,"Lon Chaney Jr., Carol Ohmart, Quinn K. Redeker",Buddy Film  •  Comedy  •  Comedy of Errors
Eddie Murphy: Raw,1987,Robert Townsend,93,"Tatyana Ali, Samuel L. Jackson, Eddie Murphy",Black Comedy  •  Gothic Film  •  Horror Comedy
Flight of the Navigator,1986,Randal Kleiser,90,"Joey Cramer, Paul Reubens, Cliff De Young",Comedy  •  Stand-up Comedy  •  Concert Film
Broken Blossoms,1919,D.W. Griffith,90,"Lillian Gish, Richard Barthelmess, Donald Crisp",Adventure  •  Family-Oriented Adventure  •  Family-Oriented Fantasy
Talladega Nights: The Ballad of Ricky Bobby,2006,Adam McKay,108,"Will Ferrell, John C. Reilly, Sacha Baron Cohen",Drama  •  Melodrama  •  Romance
Jackie Chan's Project A,1983,"Jackie Chan, Sammo Hung",106,"Jackie Chan, Biao Yuen, Sammo Hung",Comedy  •  Sports Comedy
Spies Like Us,1985,John Landis,102,"Chevy Chase, Dan Aykroyd, Vanessa Angel",Action  •  Action Comedy  •  Comedy
Show Me Love,1998,Lukas Moodysson,89,"Alexandra Dahlström, Rebecka Liljeberg, Erica Carlson",Comedy  •  Spy Film  •  Action
Big Jake,1971,George Sherman,110,"Richard Boone, Patrick Wayne, Christopher Mitchum",Comedy Drama  •  Coming-of-Age  •  Drama
Dungeons & Dragons: Honor Among Thieves,2023,"John Francis Daley, Jonathan Goldstein",134,"Chris Pine, Michelle Rodriguez, Rege-Jean Page",Traditional Western  •  Western
Crazy Heart,2009,Scott Cooper,112,"Jeff Bridges, Maggie Gyllenhaal, Robert Duvall",Action Comedy  •  Action  •  Adventure Comedy
Il Postino: The Postman,1994,Michael Radford,108,"Philippe Noiret, Massimo Troisi, Maria Grazia Cucinotta",Drama  •  Romance  •  Romantic Drama
Mad Love,1935,Karl Freund,68,"Peter Lorre, Frances Drake, Colin Clive",Drama  •  Foreign Language Film  •  Period Film
Night of the Living Dead,1990,Tom Savini,92,"Tony Todd, Patricia Tallman, Tom Towles",Body Horror  •  Horror  •  Psychological Horror
Antichrist,2009,Lars von Trier,109,"Willem Dafoe, Charlotte Gainsbourg, Storm Acheche Sahlstrøm",Horror  •  Monster Film  •  Zombie Film
Panic in the Streets,1950,Elia Kazan,96,"Zero Mostel, Barbara Bel Geddes, Jack Palance",Drama  •  Horror  •  Magic Realism
"It's the Great Pumpkin, Charlie Brown",1966,Bill Melendez,25,"Peter Robbins, Christopher Shea, Sally Dryer",Chase Movie  •  Crime Thriller  •  Crime
A.I.: Artificial Intelligence,2001,Steven Spielberg,146,"Haley Joel Osment, Jude Law, William Hurt",Animation  •  Based-on-Comics  •  Comedy
Story of Ricky,1991,Ngai Choi Lam,88,"Siu-Wong Fan, Mei Sheng Fan, Ka-Kui Ho",Based-on-20th-Century-Literature  •  Cyberpunk / Tech Noir  •  Cyborg / Android / Robot
Desk Set,1957,Walter Lang,103,"Dina Merrill, Joan Blondell, Katharine Hepburn",Action Thriller  •  Action  •  Based-on-Comics
May,2002,Lucky McKee,93,"Jeremy Sisto, Nichole M. Hiltz, Angela Bettis",Based-on-Theatre  •  Comedy  •  Romance
Macbeth,1971,Roman Polanski,140,"Francesca Annis, Vic Abbott, Bernard Archard",Horror  •  Psychological Horror  •  Psychological Thriller
Performance,1970,"Donald Cammell, Nicolas Roeg",105,"James Fox, Mick Jagger, Anita Pallenberg",Based-on-Shakespeare  •  Based-on-Theatre  •  Drama
The Queen,2006,Stephen Frears,97,"Helen Mirren, Michael Sheen, James Cromwell",Avant-garde / Experimental  •  Crime Drama  •  Crime
Get Shorty,1995,Barry Sonnenfeld,105,"Gene Hackman, Rene Russo, Dennis Farina",Based-on-a-True-Story  •  Biopic  •  Docudrama
One Crazy Summer,1986,Savage Steve Holland,89,"Demi Moore, Curtis Armstrong, Bobcat Goldwaith",Based-on-20th-Century-Literature  •  Comedy  •  Crime Comedy
Witchfinder General,1968,Michael Reeves,86,"Ian Ogilvy, Vincent Price, Robert Russell",Comedy  •  Romance  •  Romantic Comedy
Shine,1996,Scott Hicks,105,"Geoffrey Rush, Armin Mueller-Stahl, Lynn Redgrave",Costume Horror  •  Folk Horror  •  Gothic Film
Maria Full of Grace,2004,Joshua Marston,101,"Guilied Lopez, Patricia Rae, Jaime Osorio Gomez",Based-on-a-True-Story  •  Biopic  •  Drama
Il sorpasso,1962,Dino Risi,115,"Vittorio Gassman, Catherine Spaak, Jean-Louis Trintignant",Drama  •  Foreign Language Film  •  Social Problem Film
Young Sherlock Holmes,1985,Barry Levinson,109,"Nicolas Rowe, Alan Cox, Sophie Ward",Comedy Drama  •  Commedia all’italiana  •  Drama
Klaus,2019,Sergio Pablos,96,"Rashida Jones, J.K. Simmons, Jason Schwartzman",Adventure  •  Adventure Drama  •  Detective Film
City of the Living Dead,1980,Lucio Fulci,93,"Giovanni Lombardo Radice, Carlo de Mejo, Catriona MacColl",Adventure Comedy  •  Adventure  •  Animation
Benny & Joon,1993,Jeremiah S. Chechik,98,"Mary Stuart Masterson, Aidan Quinn, Oliver Platt",Exploitation Film  •  Horror  •  Monster Film
Sleepaway Camp,1983,Robert Hiltzik,88,"Felissa Rose, Mike Kellin, Jonathan Tiersten",Romance  •  Romantic Comedy  •  Comedy
A Bay of Blood,1971,Mario Bava,84,"Claudine Auger, Luigi Pistilli, Claudio Camaso",Horror  •  Slasher Film  •  Teen Movie
Game Night,2018,"John Francis Daley, Jonathan Goldstein",100,"Jason Bateman, Rachel McAdams, Billy Magnussen",Foreign Language Film  •  Giallo  •  Horror
One Froggy Evening,1955,Chuck Jones,7,"Bill Roberts, Henry Juddy",Black Comedy  •  Crime Comedy  •  Crime
Cyrano De Bergerac,1990,Jean-Paul Rappeneau,137,"Gérard Depardieu, Roland Bertin, Philippe Volter",Animation  •  Cartoon  •  Comedy
The Hunger Games: Catching Fire,2013,Francis Lawrence,146,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth",Based-on-Theatre  •  Costume Romance  •  Drama
Live Free or Die Hard,2007,Len Wiseman,128,"Bruce Willis, Timothy Olyphant, Justin Long",Action  •  Based-on-21st-Century-Literature  •  Dystopian Film
Green for Danger,1946,Sidney Gilliat,91,"Trevor Howard, Alastair Sim, Megs Jenkins",Action Thriller  •  Action  •  Buddy Film
The Cat Returns,2002,Hiroyuki Morita,75,"Chizuru Ikewaki, Yoshihiko Hakamada, Tetsu Watanabe",British Noir  •  Film Noir  •  Mystery
Stage Fright,1950,Alfred Hitchcock,110,"Jane Wyman, Marlene Dietrich, Richard Todd",Adventure  •  Animation  •  Anime
Velvet Goldmine,1998,Todd Haynes,124,"Ewan McGregor, Jonathan Rhys Meyers, Toni Collette",Crime  •  Film Noir  •  Mystery
Diary of a Lost Girl,1929,Georg Wilhelm Pabst,104,"Louise Brooks, Andre Roanne, Josef Rovensky",Drama  •  Gay and Lesbian Film  •  Musical
The Mitchells vs. the Machines,2021,"Michael Rianda, Jeff Rowe",113,"Abbi Jacobson, Danny McBride, Maya Rudolph",Drama  •  Foreign Language Film  •  Melodrama
Wallace & Gromit in A Close Shave,1995,Nick Park,30,"Anne Reid, Peter Sallis",Adventure Comedy  •  Adventure  •  Animation
